phase,method,scenario,seed,n_step,per,final_reward,best_eval,training_hours,date,run_name
Phase1,DQN,Basic,1,1,False,63.9,81.5,0.11373948289288414,2025-12-28,dqn_Basic_lr0.0001_seed1
Phase1,DQN,Basic,2,1,False,41.12,70.1,0.11325655195448134,2025-12-28,dqn_Basic_lr0.0001_seed2
Phase1,DQN,Basic,3,1,False,77.82,75.9,0.11076877779430813,2025-12-28,dqn_Basic_lr0.0001_seed3
Phase1,DQN,Deathmatch,1,1,False,3.78,6.5,0.7780158039596345,2025-12-29,dqn_Deathmatch_lr0.0001_seed1
Phase1,DQN,Deathmatch,2,1,False,4.09,4.1,0.6735763178269069,2025-12-29,dqn_Deathmatch_lr0.0001_seed2
Phase1,DQN,Deathmatch,3,1,False,1.93,5.5,0.6991710067457623,2025-12-29,dqn_Deathmatch_lr0.0001_seed3
Phase1,DQN,TakeCover,1,1,False,938.23,864.7,0.5718637972407871,2025-12-28,dqn_TakeCover_lr0.0001_seed1
Phase1,DQN,TakeCover,2,1,False,696.06,1191.2,0.5771943440702226,2025-12-28,dqn_TakeCover_lr0.0001_seed2
Phase1,DQN,TakeCover,3,1,False,950.72,1210.1,0.5058244393269221,2025-12-28,dqn_TakeCover_lr0.0001_seed3
Phase1,DeepSARSA,Basic,1,1,False,34.82,61.0,0.11041171967983246,2025-12-28,deep_sarsa_Basic_lr0.0001_seed1
Phase1,DeepSARSA,Basic,2,1,False,59.36,85.1,0.10446972688039144,2025-12-28,deep_sarsa_Basic_lr0.0001_seed2
Phase1,DeepSARSA,Basic,3,1,False,11.71,56.7,0.13184522026114995,2025-12-28,deep_sarsa_Basic_lr0.0001_seed3
Phase1,DeepSARSA,Deathmatch,1,1,False,2.25,5.2,0.7459830494059456,2025-12-29,deep_sarsa_Deathmatch_lr0.0001_seed1
Phase1,DeepSARSA,Deathmatch,2,1,False,2.36,4.5,0.7378978251748615,2025-12-29,deep_sarsa_Deathmatch_lr0.0001_seed2
Phase1,DeepSARSA,Deathmatch,3,1,False,1.75,3.3,0.7378046919239892,2025-12-29,deep_sarsa_Deathmatch_lr0.0001_seed3
Phase1,DeepSARSA,TakeCover,1,1,False,788.71,1088.4,0.6101813469330469,2025-12-29,deep_sarsa_TakeCover_lr0.0001_seed1
Phase1,DeepSARSA,TakeCover,2,1,False,817.07,1014.2,0.5865458642774158,2025-12-29,deep_sarsa_TakeCover_lr0.0001_seed2
Phase1,DeepSARSA,TakeCover,3,1,False,744.96,1137.7,0.5834813150432375,2025-12-29,deep_sarsa_TakeCover_lr0.0001_seed3
Phase2,DQN_n3,Basic,1,3,False,-143.95,-51.2,0.2269850653409958,2025-12-29,dqn_Basic_lr0.0001_n3_seed1
Phase2,DQN_n3,Basic,2,3,False,-260.37,-300.0,0.25367219070593516,2025-12-29,dqn_Basic_lr0.0001_n3_seed2
Phase2,DQN_n3,Deathmatch,1,3,False,3.21,7.0,0.727485609849294,2025-12-29,dqn_Deathmatch_lr0.0001_n3_seed1
Phase2,DQN_n3,TakeCover,1,3,False,515.05,631.8,0.37838303327560424,2025-12-29,dqn_TakeCover_lr0.0001_n3_seed1
Phase2,DQN_n3,TakeCover,2,3,False,613.34,1009.9,0.42935621605979074,2025-12-29,dqn_TakeCover_lr0.0001_n3_seed2
Phase3a,DQN_PER,Basic,1,1,True,55.32,83.0,0.06992183870739407,2025-12-30,dqn_Basic_lr0.0001_per_seed1
Phase3a,DQN_PER,Basic,2,1,True,74.91,78.3,0.090959110127555,2025-12-30,dqn_Basic_lr0.0001_per_seed2
Phase3a,DQN_PER,TakeCover,1,1,True,869.37,1053.1,0.4987101894617081,2025-12-30,dqn_TakeCover_lr0.0001_per_seed1
Phase3a,DQN_PER,TakeCover,2,1,True,856.66,1199.0,0.4871349769830704,2025-12-30,dqn_TakeCover_lr0.0001_per_seed2
Phase3b,DDQN,Basic,1,1,False,67.3,79.4,0.09927270518408882,2025-12-30,ddqn_Basic_lr0.0001_seed1
Phase3b,DDQN,Basic,2,1,False,53.18,83.4,0.0960367845164405,2025-12-30,ddqn_Basic_lr0.0001_seed2
Phase3b,DDQN,TakeCover,1,1,False,900.73,970.3,0.5738516441980998,2025-12-30,ddqn_TakeCover_lr0.0001_seed1
Phase3b,DDQN,TakeCover,2,1,False,826.73,1072.7,0.5786267063352797,2025-12-30,ddqn_TakeCover_lr0.0001_seed2
Phase3c,Dueling_DDQN,Basic,1,1,False,69.88,82.3,0.07798974646462334,2025-12-30,dueling_ddqn_Basic_lr0.0001_seed1
Phase3c,Dueling_DDQN,Basic,2,1,False,60.42,76.6,0.11019124236371781,2025-12-30,dueling_ddqn_Basic_lr0.0001_seed2
